SampleID,Number of samples,Max A,Max B,Min A,Min B,Mean A,Mean B,Sd A,Sd B
train4788,532,20913,34344,-41022,-25730,-0.0093984962,0.0056390977,9990.5917180982,9990.5918204529
train4074,896,6661,53838,-99148,-10928,0.0033482143,-0.0044642857,9994.4355616163,9994.429374745
train5823,614,15968,16905,-27393,-108080,-0.0048859935,0,9991.855627025,9991.8437535868
train7649,566,22074,28501,-38697,-27467,0.0247349823,-0.0159010601,9991.1888695819,9991.1821400815
train12370,6122,21534,36756,-188526,-40139,0.0004900359,0.033485789,9999.1861224421,9999.1308047123
train2569,6355,71897,59337,-29856,-9876,0.0239181747,0.0033044847,9999.1734326243,9999.2119191347
train6931,2439,39997,26003,-51985,-30769,0.0012300123,0.0090200902,9997.9471191938,9997.9538527756
train3337,530,20701,24172,-38861,-33836,-0.0169811321,0.0301886792,9990.5806604859,9990.5575621615
train3546,2739,66940,32871,-45214,-25783,0.0032858708,-0.0036509675,9998.1821419798,9998.1665772359
train9416,2637,19894,43532,-10888,-32723,-0.0030337505,0.0011376564,9998.0993571096,9998.1035508717
train11130,1169,65742,129407,-35247,-20301,0,0.0153977759,9995.7252806929,9995.7112030537
train517,1771,31458,117626,-19827,-8140,0.0045172219,-0.0852625635,9997.203067073,9997.1949692137
train15656,1221,24700,41594,-89963,-9022,-0.0049140049,-0.0081900082,9995.8963768497,9995.9228681093
train4119,4044,39646,10903,-15453,-79161,-0.0066765579,-0.0017309594,9998.7707405541,9998.7648467786
train5713,3165,3760,59508,-227632,-71598,0.0063191153,-0.0022116904,9998.4172917166,9998.4257498148
train1493,1847,1,87359,0,-7100,0.4899837574,0,0.4998996648,9997.3018504553
train687,6115,30829,12,-44316,1,0.0009811938,5.9409648406,9999.1890927142,2.3013270127
train14326,4435,7353,38230,-42219,-24104,0.0054114994,-0.0072153326,9998.8792596533,9998.8677777951
train8579,3674,92471,49649,-110847,-70545,-0.0095264017,-0.0019052803,9998.6365946811,9998.6366951074
train7105,1598,50570,17618,-88501,-77290,0.0112640801,0.0075093867,9996.8725053005,9996.8793345965
train7442,6680,37930,67058,-64761,-102035,0.0013473054,-0.0017964072,9999.2536984466,9999.248821487
train6773,671,14116,31669,-50941,-79036,0.0134128167,0.001490313,9992.533518013,9992.5484618063
train15000,1718,1,25481,0,-50164,0.3399301513,-0.0064027939,0.4736851735,9997.0858254646
train5752,6761,65167,82216,-31693,-97669,0,0.0020706996,9999.2633156543,9999.2590422131
train3056,691,34107,27346,-49793,-36115,-0.008683068,-0.020260492,9992.7816426637,9992.7557880607
train12107,7839,28434,38103,-17629,-49823,-0.0063783646,0.0001275673,9999.3665124623,9999.3646563254
train77,2733,73212,36123,-41115,-24721,-0.0040248811,-0.0073179656,9998.1672867042,9998.1728051472
train3887,535,75791,43818,-7910,-22662,-0.014953271,-0.0168224299,9990.6647085868,9990.6438598469
train14079,2185,31065,1,-32637,0,0.0297482838,0.7318077803,9997.6577821096,0.443018231
train1363,629,77455,19905,-64960,-21471,0.0302066773,-0.012718601,9992.0486746262,9992.0509434786
train4182,4181,120750,50662,-15118,-35617,0.0021525951,0.0110021526,9998.8051546754,9998.8052871058
train7071,1474,117315,4077,-5477,-75338,-0.0108548168,0.0047489824,9996.5946729631,9996.6111448796
train11573,754,112608,8075,-3140,-64090,-0.0013262599,0.0185676393,9993.3742912723,9993.384808762
train4863,998,10696,38255,-26266,-36391,0.0120240481,-0.002004008,9994.9892451106,9994.9836010053
train3769,849,47552,19350,-41914,-28425,0.0035335689,-0.0094228504,9994.1138533523,9994.1076395005
train11079,2441,31420,25113,-25656,-11569,-0.0016386727,-0.0180253994,9997.9557214435,9997.954053491
train14880,750,11,1,1,0,5.964,0.276,3.1618618987,0.4470167782
train10595,7008,68713,1,-32570,0,-0.0054223744,0.8819920091,9999.2832680919,0.3226175832
train15092,989,14381,22998,-76210,-31262,0.0121334681,0.0141557128,9994.954214963,9994.9558168807
train11519,1033,24086,77969,-44712,-17767,0.0096805421,-0.0029041626,9995.1597897946,9995.1684105699
train6710,3013,31666,32437,-5528,-26925,-0.0029870561,0.0013275805,9998.3364604863,9998.3415789771
train13320,5494,1,1,0,0,0.5054605024,0.6942118675,0.499970182,0.4607404373
train10113,1229,11,1,1,0,4.3401139138,0.5183075671,2.6245744177,0.4996647206
train8350,5127,38632,35617,-41263,-29375,0.0046811001,-0.0044860542,9999.0227026432,9999.0219657564
train2984,1117,1,46122,0,-10795,0.6920322292,0.0035810206,0.4616531414,9995.5334651706
train10719,4580,36475,1,-42854,0,0.0017467249,0.5980349345,9998.9050681783,0.4902949639
train6341,1404,26894,79256,-45970,-21839,-0.0128205128,0.0042735043,9996.4362250812,9996.4453562587
train9825,1158,92433,24599,-8548,-35023,-0.006044905,0.0008635579,9995.6906621953,9995.6855129129
train2597,4233,18815,1,-97753,0,0.0044885424,0.507914009,9998.8124947989,0.4999373645
train6018,1966,7446,57520,-77702,-34656,0.001017294,0.003560529,9997.4567643392,9997.4654059273
train5292,1068,325811,23774,-330,-104769,-0.2940074906,-0.0065543071,9995.3175255235,9995.3194990723
train13793,2967,1,1,0,0,0.4809571958,0.7789012471,0.49963724,0.4149868605
train250,1118,13,26431,1,-9255,7.3810375671,-0.0017889088,3.5484983844,9995.5308830132
train9423,2437,18565,157754,-19491,-27019,0.004924087,0.0127205581,9997.9496545958,9997.9505663269
train13897,4806,680802,8168,-377,-360341,0.0389096962,0.0018726592,9998.9560944904,9998.9551050954
train15540,595,57236,11,-28951,1,-0.0016806723,6.3042016807,9991.606719743,3.0030627212
train2281,2366,32672,32406,-36211,-47607,0.0038038884,-0.0414201183,9997.8909530603,9997.9026022342
train10718,1412,33592,29533,-41016,-32378,-0.0056657224,-0.007082153,9996.456034691,9996.4507948005
train12248,1065,1,40145,0,-127711,0.0873239437,-0.0112676056,0.282309179,9995.2942528848
train11208,663,32622,35117,-27475,-34414,0.0075414781,0.0180995475,9992.4561038754,9992.437856671
train5265,1481,51779,9029,-30117,-28133,-0.0081026334,0.0148548278,9996.6178876169,9996.6172911211
train4762,5544,117794,67290,-51342,-27211,-0.0030663781,0.0001803752,9999.0938444866,9999.0941763353
train9666,5829,41839,10484,-39014,-24325,-0.0056613484,-0.0039457883,9999.1423613255,9999.1402731559
train9717,4797,37299,283973,-62298,-18536,-0.0029184907,0.001667709,9998.9652060177,9998.9470080583
train10484,2738,14813,214959,-14835,-52921,0.0449233017,0.0025566107,9998.2888050783,9998.1746649449
train11679,4502,18,23069,1,-84606,8.1239449134,0.0006663705,4.2023675589,9998.8837154053
train6235,2690,34517,22852,-31898,-49244,-0.0037174721,0.0040892193,9998.1342552428,9998.1367712322
train279,6270,45740,176925,-29390,-33826,0.0019138756,-0.0076555024,9999.199047493,9999.200233231
train5381,4451,47255,33699,-56407,-27075,-0.0044933723,-0.002920692,9998.8879043261,9998.8794949516
train9425,639,4737,11240,-82577,-25447,-0.0109546166,-0.0031298905,9992.1686470263,9992.1634071679
train4320,2248,27139,68835,-71160,-15404,0.0008896797,0.0106761566,9997.7797717232,9997.7739961898
train11891,690,29759,16312,-33292,-14777,-0.0043478261,-0.0101449275,9992.7470821495,9992.7517536484
train1295,2086,72405,125083,-24678,-16790,0.0043144775,0.0009587728,9997.6098184015,9997.6160588901
train3795,742,34021,14413,-25877,-19934,-0.0377358491,0.1913746631,9993.3902588912,9993.2853687878
train9335,768,36740,24322,-34782,-49060,-0.0130208333,0.0091145833,9993.4849418851,9993.4947530293
train5293,1061,167301,28882,-5878,-39582,0.0018850141,-0.0028275212,9995.2931931465,9995.292715966
train7107,870,14010,41452,-118481,-34750,0.0091954023,-0.0068965517,9994.2557993992,9994.266178231
train10660,3294,35155,57585,-21544,-18774,0.0003035823,0.0088038859,9998.4832893966,9998.4846699299
train5283,628,19260,41208,-16730,-24576,0.0047770701,0,9992.0237153602,9992.0272878759
train14083,2626,33679,31771,-29026,-28391,0.1313785225,-0.0003808073,9997.9756404845,9998.0969756462
train5356,2481,33884,107479,-38588,-5388,-0.0004030633,0.0104796453,9997.9832589312,9997.9776118965
train12664,619,39142,18696,-18947,-10814,-0.0177705977,0.0064620355,9991.9363576724,9991.9201907594
train14024,1540,3,49189,1,-21316,2.4590909091,-0.0077922078,0.6295858911,9996.7557537403
train8091,7583,67159,30417,-13161,-151810,-0.0035605961,0.0038243439,9999.339212936,9999.3436547027
train11800,1492,1,7,0,1,0.4617962466,3.9383378016,0.4985383368,0.7387798241
train2714,589,75062,6,-99224,1,0.0169779287,4.8285229202,9991.5111079568,1.5547074116
train15228,5247,17906,32977,-53180,-35746,0.0051457976,0.0007623404,9999.0510530011,9999.0452940113
train6256,715,19730,33017,-53744,-52919,0.0153846154,-0.0195804196,9993.0087801164,9993.0058276249
train13783,1819,32720,36711,-78813,-57818,-0.009895547,0.039582188,9997.2511743095,9997.2048688769
train16169,721,29692,23317,-9525,-21573,-0.0097087379,-0.0152565881,9993.0438018505,9993.0773895065
train10091,2652,135030,74212,-37992,-35157,0.0075414781,-0.0022624434,9998.1094456841,9998.1258665378
train10724,1258,4506,25461,-308847,-43134,-0.0119236884,-0.0079491256,9996.0170024472,9996.0169519143
train3187,2200,1,30966,0,-6765,0.7468181818,-0.0059090909,0.4348342042,9997.7153972778
train11365,639,16,11,1,1,8.7621283255,6.3974960876,4.8067251247,3.3755625495
train15640,536,13,29688,1,-36571,7.7089552239,0.0186567164,3.8523585078,9990.6620608362
train10337,798,1,77833,0,-23299,0.5363408521,-0.0025062657,0.4986775937,9993.7250785108
train2316,1196,37039,27426,-20132,-28045,-0.004180602,-0.0192307692,9995.8224338761,9995.8363800595
train10892,2511,77054,1,-117236,0,0.0135404221,0.9749103943,9998.0063911515,0.1563973063
train4141,2818,36495,19042,-34382,-35661,0.001774308,-0.0049680625,9998.2263144726,9998.2224335659
train554,1578,51025,114021,-13525,-13430,-0.0183776933,-0.0050697085,9996.8130655712,9996.8306344468
train7977,960,37636,54909,-34676,-29172,0.009375,0.0052083333,9994.7873390602,9994.8014755888
train3001,2395,1,60747,0,-28871,0.7507306889,0.0029227557,0.4325900156,9997.9108294715
train229,5456,7503,8,-54409,1,0.0014662757,3.4492302053,9999.0823227393,1.3620549508
train7117,1007,13238,47929,-22106,-9081,-0.0129096326,0.0129096326,9995.0421079481,9995.0296344273
train7123,2962,26324,26198,-28129,-29658,-0.0043889264,-0.006076975,9998.3176386475,9998.3083642427
train6743,1127,20717,28892,-154828,-24578,0.015971606,0.0150842946,9995.5686073,9995.5735194592
train14934,663,12,19719,1,-45933,6.2413273002,0,3.8637011367,9992.4440565473
train14728,976,59817,36549,-32310,-31599,-0.0133196721,0.0071721311,9994.8628820802,9994.8830867078
train12584,1608,106929,59856,-7545,-22550,0.0080845771,-0.0018656716,9996.9016207764,9996.8910426208
train447,7031,31035,15264,-37361,-57360,0.0031290001,-0.0022756365,9999.2875201451,9999.2770373278
train7964,2284,58907,2009,-30975,-179716,0.0052539405,-0.011821366,9997.8105809425,9997.8096396844
train15026,1633,40631,6,-30604,1,-0.0336803429,4.2694427434,9996.9165896979,1.602479171
train15324,4926,54518,42218,-11150,-5777,0.0071051563,0.1323589119,9998.9916731463,9998.8798245692
train3663,1380,64564,62193,-30076,-10842,0.0014492754,0.0028985507,9996.3835704921,9996.3745510665
train2269,7246,36222,39090,-45468,-23132,-0.0033121722,0.0052442727,9999.3062714788,9999.3120966941
train9215,6255,65743,38802,-124621,-30519,0.0057553957,0.0036770584,9999.20020106,9999.2077784427
train10189,5809,55031,36694,-50165,-42254,0.0044758134,0.0017214667,9999.1419295301,9999.140170609
train5123,6305,58457,34656,-28261,-45035,-0.00111023,-0.0007930214,9999.2043125232,9999.2057065278
train10708,5225,53638,1,-15434,0,-0.0032535885,0.3115789474,9999.0402735342,0.4631387556
train849,1293,34200,17279,-19933,-30407,-0.0023201856,-0.0054137664,9996.1315323741,9996.1363739199
train14213,6012,13,36420,1,-40352,7.6162674651,0.000332668,3.7614701282,9999.1664985638
train1208,4489,53284,55103,-31434,-47101,0.0033415014,0.0051236356,9998.8868331973,9998.8858575699
train4479,681,14638,27764,-125222,-28738,-0.0044052863,0.0190895742,9992.6685660271,9992.6768788556
train8474,7666,94515,30295,-7852,-400392,0.0003913384,0.0033915993,9999.3492583011,9999.3493997329
train5091,1002,12042,34505,-37988,-17849,0.0169660679,0.0099800399,9995.0028233031,9995.0251965935
train11914,4435,27752,82130,-30944,-20701,0.0024802706,0.0029312289,9998.8779918573,9998.8806373171
train7111,834,103492,34906,-54100,-34881,0.0119904077,-0.0011990408,9994.0020839768,9993.9915243474
train3125,738,78201,59028,-20004,-56090,-0.0257452575,0.0081300813,9993.1976998849,9993.2264489009
train1511,2574,38300,90,-26554,1,0.0116550117,51.7929292929,9998.050430465,24.6970189944
train2841,1754,50246,54067,-24957,-16452,0.0034207526,0.0051311288,9997.1622097755,9997.140179525
train14396,667,22359,29564,-38566,-40105,0.0074962519,0,9992.4944858338,9992.497821098
train16052,1030,28004,22800,-20046,-8467,0.0077669903,0.1776699029,9995.1347716203,9994.9901124535
train7413,909,251910,13589,-6046,-49147,0.00330033,-0.00220022,9994.4958007555,9994.4900131351
train530,530,28287,38195,-22565,-41612,0.0094339623,0.0056603774,9990.5515254629,9990.5667598484
train14953,1207,53719,3903,-25475,-196503,-0.0091135046,-0.0115990058,9995.8614943801,9995.8627557528
train11239,1387,29,62798,1,-24767,17.3410237924,-0.0021629416,8.7897698839,9996.3967122792
train8815,1323,70006,43027,-29064,-39331,0.0105820106,-0.007558579,9996.2219391417,9996.2178576318
train15185,2383,49731,10019,-19193,-120804,0.0125891733,0.0331514897,9997.8909206782,9997.914760272
train11971,1328,29731,8703,-35294,-58288,0.0022590361,0.0030120482,9996.2202609419,9996.2303739835
train10192,607,39652,7,-25446,1,-0.0131795717,3.273476112,9991.7487648753,1.954424274
train1447,817,144592,44408,-3449,-58962,-0.0183598531,0.0036719706,9993.8879320532,9993.8707317008
train9900,2783,64981,65790,-12766,-15643,0.0075458139,-0.0043118936,9998.1939042534,9998.2152584846
train11629,4495,12,38136,1,-37949,6.8349276974,-0.0040044494,4.0649213271,9998.8842483437
train2775,768,1,44529,0,-40578,0.3489583333,-0.0091145833,0.4766407609,9993.472145719
train6443,7516,136553,29588,-8021,-9507,0.0051889303,-0.0027940394,9999.3304302767,9999.3334653128
train13039,5080,22214,16639,-101842,-100953,-0.0019685039,-0.011023622,9999.0179114009,9999.00440628
train11621,7131,24054,57004,-30291,-69588,-0.0464170523,-0.0016827934,9999.3007240827,9999.3030079775
train13333,836,69756,1,-35012,0,0,0.5574162679,9994.0159244942,0.4966924322
train5948,1591,34039,30929,-30411,-39253,0.0050282841,-0.0087994972,9996.8585852042,9996.8615253454
train4450,725,46211,45810,-20353,-37819,0.0027586207,-0.0027586207,9993.1168168822,9993.1009354554
train7385,2171,50677,9498,-18788,-54030,-0.0036849378,-0.0023030861,9997.6930598334,9997.7011582672
train11643,2929,59992,3,-64780,1,-0.0058040287,1.1461249573,9998.2956275605,0.4569027941
train14607,3337,1,24828,0,-54154,0.1558285886,-0.0677255019,0.3626927619,9998.502373362
train15569,4569,62328,128540,-11692,-66540,-0.0008754651,-0.0015320639,9998.9037045161,9998.9002620172
train13370,2181,35532,72553,-42285,-9519,0.0055020633,-0.0004585053,9997.7078422051,9997.7019938905
train9238,619,60921,19223,-16138,-36905,-0.0016155089,-0.0064620355,9991.9260450051,9991.9177739436
train11564,6739,33601,87365,-38148,-115600,0.0032645793,-0.0004451699,9999.2619025865,9999.2561129682
train1766,5053,1,15985,0,-91433,0.7680585791,0.018404908,0.4220717927,9999.0237558234
train6395,1536,63835,55709,-35082,-42052,-0.001953125,0.0071614583,9996.7574892473,9996.7407305418
train8360,908,6602,31293,-20290,-16947,0.0121145374,-0.0121145374,9994.5090270901,9994.5028803209
train13895,942,35775,29838,-32196,-34760,0,-0.0063694268,9994.6968428708,9994.6789953838
train3118,693,32544,17335,-46506,-40582,0.0158730159,-0.0245310245,9992.7749763027,9992.7807461088
train15877,572,25331,32975,-32714,-28479,-0.006993007,-0.0104895105,9991.2508509388,9991.2527700972
train2005,6626,72273,84106,-39589,-65567,-0.0001509206,0.0030184123,9999.248423696,9999.2449621082
train10694,607,8,31286,1,-36620,6.3245469522,0.0247116969,1.299514705,9991.7627820932
train9331,686,122506,62359,-16958,-16689,-0.0189504373,0.0189504373,9992.7132774544,9992.7144745365
train7606,926,32283,8919,-34942,-21266,-0.0043196544,0,9994.5987568785,9994.6069465046
train5999,735,63922,30092,-42795,-42191,-0.0040816327,-0.0149659864,9993.1999066432,9993.1938086067
train1538,1537,1,3704,0,-58681,0.4788549122,0.0507482108,0.4995526852,9996.7639832426
train15851,1090,33581,30448,-35870,-31604,-0.0055045872,0.0018348624,9995.4177298633,9995.4037809861
train14023,2094,24923,367653,-38143,-14998,0.0281757402,-0.0066857689,9997.6005078558,9997.6098180742
train6346,997,29506,60914,-39719,-33210,-0.0070210632,0.0120361083,9994.9935963925,9994.9774229315
train15436,1775,35323,53851,-64260,-13251,-0.0118309859,-0.0067605634,9997.1489929894,9997.1818374309
train9305,3356,31356,94033,-54152,-36816,0.0041716329,-0.0008939213,9998.5183241404,9998.5121911538
train4018,3432,63298,7,-28519,1,-0.0224358974,5.9117132867,9998.5621229844,1.6635970385
train6971,531,33751,36915,-29754,-25329,-0.0018832392,-0.0075329567,9990.5772448591,9990.567950878
train10648,7276,33858,470181,-227887,-840,0.0020615723,-0.1045904343,9999.3117621807,9999.3222867889
train13423,1016,18115,31758,-58460,-29509,-0.0029527559,-0.0265748031,9995.0774287193,9995.0253714273
train534,3529,26163,26082,-51142,-32147,-0.0076508926,-0.0107679229,9998.5765351112,9998.5753459195
train1473,853,29530,83407,-36663,-5352,-0.0023446659,0.0035169988,9994.1353413672,9994.1196081533
train10824,1960,31362,25842,-38307,-51054,0.0035714286,0.0056122449,9997.4450080134,9997.4570128072
train7575,2674,30964,78461,-20970,-17275,0.0022438295,-0.0115931189,9998.131908982,9998.1263192798
train11075,794,25676,25851,-28043,-64855,-0.0100755668,0.0012594458,9993.6930763699,9993.6862797057
train9329,661,30962,30212,-36975,-35299,0.0090771558,0.0105900151,9992.4462508217,9992.4299874631
train3120,2114,8,1,1,0,4.1986754967,0.6702932829,1.4133028426,0.4701065813
train5102,898,157944,30171,-25454,-38961,-0.0022271715,-0.0144766147,9994.4362750765,9994.4323543429
train4591,1437,57875,38964,-23090,-33744,0.0020876827,-0.0083507307,9996.5257357574,9996.5212961105
train5433,6370,68646,22568,-31955,-44383,0.0056514914,0.008477237,9999.2146923969,9999.2165373277
train2250,1653,26828,11,-19495,1,0.0145190563,5.8747731397,9996.9592862103,3.3404411249
train16152,192,18789,13318,-24965,-29582,0.0208333333,-0.0364583333,9973.9385739361,9973.8259294288
train12650,1318,40672,33041,-21088,-84238,0.0030349014,-0.0037936267,9996.2101678217,9996.2037295296
train4129,1902,30289,90420,-33604,-7320,0.0052576236,0.0063091483,9997.3839403023,9997.3653287909
train13629,4132,9875,42650,-41997,-41525,0.0566311713,-0.002178122,9998.804037544,9998.7923469357
train15437,1988,18788,64113,-70481,-29538,-0.0065392354,0,9997.486022701,9997.4853648164
train2948,1271,30331,49041,-37228,-42216,-0.0180959874,-0.0031471282,9996.0699286154,9996.0706788474
train4208,3842,50850,44360,-62135,-8559,0.0057261843,0.0039042166,9998.6979738761,9998.6989967457
train4579,2112,23880,151078,-132520,-27116,-0.0014204545,0.0123106061,9997.6414766268,9997.6260162612
train2352,2965,51751,37,-12691,1,-0.0384485666,15.8583473862,9998.3373800583,12.0309396798
train12762,3523,68184,1,-25748,0,0.0028384899,0.2617087709,9998.5711760663,0.4395648873
train13741,7237,7552,32093,-28366,-38175,0.279673898,0.0292939063,9999.5503950464,9999.2843348982
train12360,2361,1,39865,0,-52051,0.6188055909,-0.1376535366,0.4856801742,9997.9078429877
train13693,575,30364,47395,-26322,-22913,-0.012173913,-0.0034782609,9991.36774246,9991.3058317017
train15414,957,1,55170,0,-18595,0.5475444096,-0.0020898642,0.4977343962,9994.7735573076
train5530,1904,13190,9580,-128286,-191567,0.0057773109,-0.0021008403,9997.3642103233,9997.376646657
train1023,1306,29772,4,-18888,1,0.0298621746,2.9961715161,9996.1869266161,0.0916951871
train8223,511,33712,38645,-30545,-27697,-0.0039138943,0.0019569472,9990.2336888832,9990.2167873336
train2724,547,40375,17980,-39667,-94890,-0.0073126143,0.0054844607,9990.8559760114,9990.8626897362
train13344,1257,1,29560,0,-30343,0.0039777247,-0.1511535402,0.062943645,9996.1378348237
train4637,3159,8633,173294,-211193,-8672,-0.0031655587,-0.0110794555,9998.4261478805,9998.42340599
train5538,6050,33042,343842,-37608,-29345,0.0028099174,0.0018181818,9999.1829368101,9999.1751598082
train3068,580,34749,10474,-25185,-68273,-0.0293103448,-0.0068965517,9991.4219602153,9991.3851114237
train8257,980,6056,34969,-85180,-22742,0.0091836735,0.0081632653,9994.9021162381,9994.8996837231
train14523,1691,19189,4,-15920,1,-0.0100532229,2.479006505,9997.0428314398,0.8036009771
train9173,1277,8596,27206,-24604,-31309,0,-0.0093970243,9996.0832010627,9996.0822891898
train4949,932,47826,12820,-18927,-55962,-0.0021459227,0,9994.6191482442,9994.6260270508
train14991,706,61262,19570,-22966,-57349,0,-0.0793201133,9992.8956261103,9992.8895203229
train2392,7958,47532,39803,-53073,-17986,0.0042724303,-0.005277708,9999.3662435508,9999.3780020041
train7534,1612,17798,29126,-15132,-34579,0.0105459057,-0.0043424318,9996.8975094479,9996.8895090764
train14756,5467,316818,6421,-2566,-28218,-0.0045728919,0.0428022682,9999.0832347,9999.117155688
train14775,1617,13646,24257,-29243,-105180,-0.0068027211,-0.0822510823,9996.9054698932,9996.8816298076
train1475,2244,46664,11355,-35636,-84171,0.0017825312,0.015597148,9997.7834851907,9997.7750483898
train191,646,39252,17910,-17297,-38638,0.0139318885,0.0170278638,9992.2422348846,9992.2901431385
train675,5345,21333,1,-10066,0,-0.0071094481,0.3242282507,9999.0644129011,0.4680857743
train14229,1084,1,63865,0,-10300,0.5359778598,-0.0156826568,0.4987039138,9995.4549404951
train15658,7715,24317,3,-49254,1,0.0060920285,2.0666234608,9999.3514267234,0.9781644257
train1848,1674,131587,105246,-17329,-96259,0.0059737157,-0.0143369176,9997.0151732364,9997.0155232726
train12415,1032,1,5,0,1,0.3662790698,3.9786821705,0.4817869994,1.5024305269
train4770,3880,38006,36765,-31610,-41476,-0.0005154639,0.0079896907,9998.6948246197,9998.7046327862
train549,1574,33799,60465,-28924,-36532,-0.0057179161,-0.0044472681,9996.8409341457,9996.8245398814
train1502,564,44457,1045,-23978,-198820,0.0088652482,-0.1223404255,9991.1316682512,9991.1159523159
train11825,4094,25031,95942,-32813,-6405,0.0056179775,-0.0039081583,9998.781164741,9998.7809855431
train7461,6112,35041,50940,-50669,-38973,-0.0004908377,-0.0062172775,9999.1835928765,9999.1797774691
train7758,2552,19913,27519,-63848,-100202,-0.0078369906,-0.0070532915,9998.0380482474,9998.0372454258
train4295,1420,87013,35932,-30502,-37358,-0.0056338028,0.0056338028,9996.474423373,9996.4869465832
train12099,2999,1,32148,0,-21940,0.7765921974,0.0386795599,0.4165294183,9998.1972678766
train14274,1456,5215,7325,-136190,-62135,0.0082417582,-0.0082417582,9996.5649692968,9996.5660946146
train4127,6683,58389,7015,-30053,-770903,0.0040401018,-0.0016459674,9999.2533935481,9999.2478078841
train1106,6668,5,9,1,1,3.9277144571,5.7318536293,0.8274278385,3.1438362556
train14589,2855,50916,25195,-27012,-42511,0.0021015762,-0.0059544658,9998.2485022343,9998.2418831903
train11306,548,23713,64445,-31433,-13055,0.0109489051,-0.0182481752,9990.8900044076,9990.8866513418
train5524,3492,200441,32096,-8506,-52790,-0.0025773196,0.0040091638,9998.5745660612,9998.5697245476
train2027,3301,46537,3,-39742,1,-0.0075734626,2.8479248713,9998.4852582377,0.4564188557
train8382,5043,56975,25282,-19943,-14656,-0.0039658933,-0.0039658933,9999.0079925165,9999.0108675187
train13520,4054,33358,1,-37219,0,-0.00024667,0.1090281204,9998.7665510022,0.3116744926
train14487,1011,29796,24953,-35306,-70418,-0.0019782394,-0.0158259149,9995.0562660062,9995.05787203
train1989,2213,31793,74071,-31030,-21519,0.0018075011,0.0126525079,9997.7397461892,9997.7332469697
train11711,2117,23,438353,1,-990,10.9518186112,-0.008502598,7.2847180067,9997.6500277513
train1458,878,82471,19746,-31995,-48101,0.020501139,0.0022779043,9994.3022575172,9994.3111177077
train6259,2252,95388,33229,-33625,-65037,-0.0075488455,-0.0071047957,9997.7729064626,9997.7829342018
train2201,2786,27368,23444,-50645,-30200,0.0007178751,-0.0086145011,9998.2107786278,9998.210993738
train5296,3641,73975,32828,-25711,-51174,0,0.0043943971,9998.6254936718,9998.6270127754
train3426,406,30,7,1,1,15.7093596059,4.7044334975,8.3927168217,2.0199327037
train6328,7093,61471,38827,-16785,-50505,-0.0039475539,0.0004229522,9999.2940209833,9999.2964681113
train8927,704,78383,27009,-8947,-21604,0.0042613636,0.0014204545,9992.8981053554,9992.9021013752
train876,5245,48022,56879,-37235,-34782,-0.0051477598,-0.0081982841,9999.0501548979,9999.0397003226
train13006,6289,1,15984,0,-28572,0.7023374145,-0.0006360312,0.4572303256,9999.2029280048
train8017,1886,28469,43501,-42507,-37152,0.0026511135,-0.0031813362,9997.362464975,9997.3511013402
train9154,4978,31225,29710,-9418,-14506,-0.00361591,0.0022097228,9998.9969327175,9998.9967058671
train3111,2745,29989,152019,-222041,-37604,0.0010928962,-0.0025500911,9998.1757387583,9998.1763242565
train12489,651,82902,17782,-19616,-43009,0.0291858679,0.0107526882,9992.3066089773,9992.3083421446
train14581,2099,433475,2381,-11685,-81569,-0.0257265364,-0.0686040972,9997.608677219,9997.6129323446
train12401,2477,1,65117,0,-43123,0.509487283,-0.0056519984,0.4999099834,9997.9870611891
train12911,854,1,204870,0,-8818,0.0011709602,-0.0081967213,0.034199255,9994.1431069094
train1748,2070,26314,67341,-133893,-23940,-0.009178744,0.0101449275,9997.5811593645,9997.5889916898
train1954,2528,119973,68822,-26484,-34581,0.0023734177,-0.0288765823,9998.0243779864,9998.1320964506
train9504,6304,154186,105795,-20414,-24836,-0.0001586294,0.0007931472,9999.2031868379,9999.2070716962
train14710,1814,32417,37227,-31850,-49407,0.0005512679,-0.0071664829,9997.2450983924,9997.2368685559
train10767,2713,10,6201,1,-44033,5.9491338002,-0.0129008478,0.5268257057,9998.1612042653
train4020,2183,46531,43043,-81307,-6362,0.0059551077,-0.0082455337,9997.7090247664,9997.7083811679
train8168,6536,25030,19816,-40715,-110729,0.0006119951,0.004130967,9999.2366401878,9999.2318110764
train13326,2854,1,34757,0,-61498,0.336370007,0.0080588648,0.4724671686,9998.251844549
train6865,2883,22194,18873,-49402,-62589,0.0128338536,-0.0006937218,9998.2741325558,9998.2691525323
train9298,2539,29590,63849,-53667,-21561,0.0011815675,0.0039385585,9998.0202597029,9998.0325370169
train11077,929,5,38298,1,-32407,1.9418729817,0.0107642626,0.3838240832,9994.6206782198
train12822,1038,26161,6448,-36656,-22929,-0.0163776493,-0.0221579961,9995.1849403131,9995.1482728681
train7788,7920,41834,40469,-36944,-6496,-0.0044191919,-0.0029040404,9999.3657189806,9999.3705108749
train1764,3288,35199,104388,-31803,-57134,-0.0042579075,0.003649635,9998.4711164582,9998.4800462261
train8572,1495,42555,28432,-22568,-20126,0.0100334448,0.0080267559,9996.6579226246,9996.6548944902
train153,1370,220346,46519,-7018,-40206,0.0102189781,0.0051094891,9996.3542634542,9996.3458952578
train15800,588,4,105233,1,-7448,2.9744897959,0.0034013605,1.0089879645,9991.5137272194
