SampleID,A->B,B->A,A-B or A|B
train1573,0.087850,0.616318,0.295832
train1574,0.303173,0.497669,0.199159
train1575,0.172330,0.415655,0.412015
train1576,0.055405,0.085373,0.859222
train1577,0.558135,0.335638,0.106227
train1578,0.846787,0.049638,0.103575
train1579,0.143621,0.055138,0.801240
train1580,0.154710,0.187289,0.658001
train1581,0.057664,0.756725,0.185612
train1582,0.125119,0.550784,0.324098
train1583,0.571237,0.371534,0.057229
train1584,0.543587,0.236333,0.220080
train1585,0.013080,0.891976,0.094944
train1586,0.095391,0.655138,0.249472
train1587,0.021597,0.748291,0.230112
train1588,0.499838,0.483888,0.016274
train1589,0.664499,0.089126,0.246375
train1590,0.783700,0.073625,0.142675
train1591,0.413258,0.213455,0.373287
train1592,0.356006,0.287916,0.356078
train1593,0.331314,0.574759,0.093927
train1594,0.353534,0.631383,0.015083
train1595,0.295688,0.060191,0.644121
train1596,0.149174,0.628841,0.221985
train1597,0.667375,0.243345,0.089280
train1598,0.006646,0.069513,0.923841
train1599,0.771010,0.058866,0.170124
train1600,0.679514,0.265906,0.054580
train1601,0.127082,0.179477,0.693442
train1602,0.765958,0.207194,0.026847
train1603,0.140065,0.691214,0.168721
train1604,0.116019,0.327956,0.556025
train1605,0.217488,0.163449,0.619062
train1606,0.360728,0.188939,0.450333
train1607,0.158739,0.382142,0.459119
train1608,0.700156,0.156984,0.142861
train1609,0.195003,0.039163,0.765834
train1610,0.730858,0.227003,0.042139
train1611,0.678137,0.131359,0.190504
train1612,0.707011,0.285087,0.007902
train1613,0.815659,0.074650,0.109691
train1614,0.013918,0.103659,0.882423
train1615,0.506001,0.417106,0.076893
train1616,0.036643,0.229702,0.733656
train1617,0.180467,0.268930,0.550603
train1618,0.076500,0.660133,0.263368
train1619,0.752898,0.221427,0.025675
train1620,0.404604,0.018146,0.577251
train1621,0.400912,0.589783,0.009305
train1622,0.316264,0.110532,0.573204
train1623,0.463628,0.233056,0.303316
train1624,0.028905,0.915439,0.055656
train1625,0.028453,0.080194,0.891352
train1626,0.543023,0.280402,0.176575
train1627,0.058831,0.786047,0.155122
train1628,0.050338,0.908255,0.041407
train1629,0.823508,0.168414,0.008079
train1630,0.219975,0.584672,0.195352
train1631,0.067737,0.704715,0.227548
train1632,0.094136,0.397306,0.508557
train1633,0.168447,0.034627,0.796927
train1634,0.834844,0.041906,0.123250
train1635,0.268365,0.655995,0.075641
train1636,0.419682,0.347763,0.232556
train1637,0.392862,0.003840,0.603298
train1638,0.314073,0.318607,0.367320
train1639,0.908785,0.047749,0.043466
train1640,0.779323,0.073746,0.146930
train1641,0.755773,0.010675,0.233552
train1642,0.813884,0.140400,0.045715
train1643,0.334359,0.446998,0.218642
train1644,0.638205,0.031810,0.329985
train1645,0.614463,0.025202,0.360335
train1646,0.513407,0.139754,0.346839
train1647,0.579914,0.325517,0.094569
train1648,0.678989,0.047264,0.273747
train1649,0.190065,0.450047,0.359888
train1650,0.606829,0.086091,0.307080
train1651,0.168345,0.741702,0.089953
train1652,0.517765,0.449719,0.032517
train1653,0.141446,0.015721,0.842832
train1654,0.057024,0.043665,0.899311
train1655,0.165778,0.600962,0.233260
train1656,0.949548,0.033982,0.016470
train1657,0.113472,0.812105,0.074423
train1658,0.728472,0.031850,0.239678
train1659,0.110198,0.480174,0.409628
train1660,0.443634,0.285532,0.270833
train1661,0.606665,0.292410,0.100925
train1662,0.663681,0.216686,0.119633
train1663,0.315629,0.215645,0.468726
train1664,0.405087,0.262884,0.332029
train1665,0.104205,0.198701,0.697094
train1666,0.364101,0.229742,0.406157
train1667,0.288824,0.151776,0.559400
train1668,0.184269,0.772158,0.043573
train1669,0.053580,0.582500,0.363920
train1670,0.702047,0.070281,0.227672
train1671,0.017196,0.355398,0.627406
train1672,0.221487,0.012226,0.766287
train1673,0.460501,0.236937,0.302562
train1674,0.762821,0.089744,0.147435
train1675,0.328508,0.307704,0.363788
train1676,0.167620,0.119875,0.712505
train1677,0.970278,0.002798,0.026924
train1678,0.384852,0.131190,0.483958
train1679,0.003487,0.396271,0.600242
train1680,0.167416,0.093351,0.739233
train1681,0.054260,0.927896,0.017844
train1682,0.610912,0.148821,0.240266
train1683,0.192363,0.084042,0.723595
train1684,0.161557,0.732466,0.105977
train1685,0.587356,0.406785,0.005858
train1686,0.214476,0.154270,0.631255
train1687,0.043338,0.353117,0.603545
train1688,0.069922,0.417610,0.512467
train1689,0.232791,0.631177,0.136033
train1690,0.682586,0.257179,0.060235
train1691,0.045344,0.389485,0.565171
train1692,0.594605,0.198423,0.206972
train1693,0.447532,0.439615,0.112853
train1694,0.315295,0.161710,0.522995
train1695,0.387630,0.385807,0.226563
train1696,0.771370,0.185061,0.043569
train1697,0.179552,0.125515,0.694933
train1698,0.773368,0.199834,0.026798
train1699,0.460896,0.152791,0.386312
train1700,0.523648,0.367162,0.109190
train1701,0.486379,0.415330,0.098291
train1702,0.286460,0.257914,0.455626
train1703,0.168629,0.684850,0.146521
train1704,0.664629,0.263738,0.071633
train1705,0.791418,0.021419,0.187163
train1706,0.421032,0.537256,0.041712
train1707,0.458184,0.241465,0.300351
train1708,0.281197,0.075836,0.642968
train1709,0.494465,0.286707,0.218828
train1710,0.141834,0.099018,0.759149
train1711,0.489830,0.269368,0.240802
train1712,0.567235,0.228376,0.204389
train1713,0.071683,0.659710,0.268606
train1714,0.090724,0.622677,0.286600
train1715,0.087474,0.423190,0.489336
train1716,0.044642,0.490310,0.465048
train1717,0.004192,0.226562,0.769246
train1718,0.645451,0.179555,0.174994
train1719,0.148860,0.376413,0.474726
train1720,0.618933,0.369715,0.011352
train1721,0.237806,0.194349,0.567845
train1722,0.780180,0.172101,0.047719
train1723,0.290544,0.316465,0.392991
train1724,0.104204,0.780111,0.115685
train1725,0.861290,0.120260,0.018450
train1726,0.484256,0.398733,0.117011
train1727,0.186297,0.522579,0.291124
train1728,0.585312,0.125522,0.289166
train1729,0.342795,0.295213,0.361992
train1730,0.309611,0.606198,0.084191
train1731,0.347686,0.360242,0.292072
train1732,0.059755,0.177740,0.762505
train1733,0.433539,0.537133,0.029328
train1734,0.258825,0.429194,0.311981
train1735,0.131927,0.828973,0.039100
train1736,0.290545,0.503244,0.206211
train1737,0.330675,0.082218,0.587108
train1738,0.595529,0.230704,0.173767
train1739,0.344158,0.228698,0.427144
train1740,0.669540,0.319194,0.011266
train1741,0.928542,0.055377,0.016082
train1742,0.458810,0.298948,0.242241
train1743,0.454470,0.099789,0.445741
train1744,0.023442,0.227491,0.749068
train1745,0.140730,0.200168,0.659103
train1746,0.322891,0.031822,0.645287
train1747,0.185678,0.049491,0.764832
train1748,0.301739,0.426614,0.271646
train1749,0.463610,0.508209,0.028180
train1750,0.623931,0.193554,0.182515
train1751,0.483586,0.045996,0.470418
train1752,0.766637,0.222654,0.010709
train1753,0.239612,0.050038,0.710349
train1754,0.013796,0.692183,0.294021
train1755,0.322101,0.439576,0.238323
train1756,0.116100,0.271890,0.612011
train1757,0.312261,0.487362,0.200377
train1758,0.393380,0.160847,0.445773
train1759,0.010408,0.161419,0.828174
train1760,0.043339,0.297772,0.658889
train1761,0.329196,0.293790,0.377014
train1762,0.402202,0.088783,0.509015
train1763,0.503979,0.387627,0.108394
train1764,0.185764,0.556595,0.257641
train1765,0.577768,0.332824,0.089408
train1766,0.301927,0.509303,0.188770
train1767,0.328232,0.242938,0.428830
train1768,0.491274,0.034041,0.474685
train1769,0.523291,0.354572,0.122137
train1770,0.308794,0.667247,0.023959
train1771,0.033298,0.188584,0.778119
train1772,0.129893,0.393123,0.476985
train1773,0.738701,0.173043,0.088256
train1774,0.328378,0.153396,0.518227
train1775,0.510058,0.349950,0.139993
train1776,0.178922,0.138028,0.683050
train1777,0.123275,0.868257,0.008468
train1778,0.062175,0.472610,0.465214
train1779,0.205086,0.376152,0.418762
train1780,0.019100,0.908762,0.072138
train1781,0.084233,0.857245,0.058522
train1782,0.494394,0.413422,0.092184
train1783,0.226304,0.664478,0.109219
train1784,0.095110,0.683328,0.221562
train1785,0.105080,0.820723,0.074197
train1786,0.220783,0.036917,0.742300
train1787,0.547245,0.167139,0.285616
train1788,0.386633,0.132816,0.480551
train1789,0.342299,0.443666,0.214035
train1790,0.751722,0.052914,0.195364
train1791,0.124682,0.717904,0.157414
train1792,0.489137,0.039599,0.471264
train1793,0.477032,0.437199,0.085769
train1794,0.037869,0.373307,0.588824
train1795,0.676659,0.205657,0.117684
train1796,0.352210,0.347057,0.300733
train1797,0.190472,0.277648,0.531880
train1798,0.083055,0.914272,0.002673
train1799,0.026212,0.364561,0.609227
train1800,0.243799,0.495959,0.260242
train1801,0.165279,0.054979,0.779742
train1802,0.626135,0.000240,0.373625
train1803,0.534228,0.162748,0.303024
train1804,0.157764,0.280751,0.561485
train1805,0.487078,0.187904,0.325017
train1806,0.482100,0.008961,0.508940
train1807,0.070327,0.162123,0.767549
train1808,0.392761,0.186721,0.420518
train1809,0.053351,0.905000,0.041649
train1810,0.191448,0.675457,0.133094
train1811,0.363132,0.154364,0.482503
train1812,0.068342,0.504590,0.427069
train1813,0.615090,0.092190,0.292720
train1814,0.226931,0.178437,0.594633
train1815,0.068867,0.479942,0.451191
train1816,0.308365,0.503169,0.188466
train1817,0.895696,0.035747,0.068557
train1818,0.055519,0.090044,0.854437
train1819,0.070487,0.246060,0.683453
train1820,0.218348,0.558878,0.222774
train1821,0.139722,0.234623,0.625654
train1822,0.003173,0.901951,0.094876
train1823,0.079458,0.419890,0.500652
train1824,0.417743,0.193417,0.388840
train1825,0.591656,0.246656,0.161688
train1826,0.374879,0.589715,0.035405
train1827,0.034903,0.072292,0.892804
train1828,0.064402,0.861517,0.074081
train1829,0.117436,0.770541,0.112024
train1830,0.001463,0.485008,0.513529
train1831,0.129625,0.251105,0.619270
train1832,0.123512,0.782174,0.094313
train1833,0.297613,0.597042,0.105345
train1834,0.001340,0.252252,0.746408
train1835,0.051462,0.364742,0.583795
train1836,0.707935,0.187977,0.104088
train1837,0.819438,0.029499,0.151063
train1838,0.491995,0.411419,0.096586
train1839,0.073598,0.788435,0.137967
train1840,0.459744,0.007545,0.532711
train1841,0.150545,0.009319,0.840137
train1842,0.168344,0.802028,0.029628
train1843,0.171482,0.584486,0.244032
train1844,0.561556,0.002208,0.436236
train1845,0.307284,0.049369,0.643347
train1846,0.815704,0.017308,0.166989
train1847,0.180851,0.676665,0.142484
train1848,0.115253,0.212708,0.672039
train1849,0.071738,0.114180,0.814082
train1850,0.337351,0.012358,0.650290
train1851,0.104639,0.137263,0.758098
train1852,0.249303,0.415970,0.334727
train1853,0.133446,0.425308,0.441247
train1854,0.011799,0.490307,0.497893
train1855,0.167575,0.259764,0.572661
train1856,0.142174,0.341320,0.516506
train1857,0.322343,0.503093,0.174564
train1858,0.116567,0.216114,0.667319
train1859,0.218674,0.681259,0.100068
train1860,0.253561,0.029460,0.716979
train1861,0.550532,0.181919,0.267549
train1862,0.139746,0.290071,0.570184
train1863,0.174036,0.632240,0.193724
train1864,0.355536,0.346572,0.297892
train1865,0.255806,0.080523,0.663671
train1866,0.618575,0.047957,0.333468
train1867,0.045731,0.125847,0.828421
train1868,0.008363,0.284360,0.707277
train1869,0.401538,0.301261,0.297200
train1870,0.487712,0.440443,0.071845
train1871,0.072326,0.344641,0.583033
train1872,0.088809,0.806048,0.105143
train1873,0.490900,0.030952,0.478148
train1874,0.513457,0.292665,0.193878
train1875,0.130535,0.856891,0.012574
train1876,0.756795,0.000056,0.243149
train1877,0.263352,0.510064,0.226584
train1878,0.272661,0.156892,0.570448
train1879,0.135261,0.465601,0.399138
train1880,0.213386,0.264031,0.522584
train1881,0.160605,0.508579,0.330816
train1882,0.195187,0.328786,0.476026
train1883,0.780408,0.208658,0.010934
train1884,0.422783,0.409336,0.167881
train1885,0.396558,0.028843,0.574598
train1886,0.388998,0.519908,0.091094
train1887,0.211405,0.216573,0.572022
train1888,0.653046,0.075307,0.271646
train1889,0.103913,0.490089,0.405998
train1890,0.036383,0.177558,0.786059
train1891,0.311346,0.604241,0.084413
train1892,0.242344,0.404945,0.352711
train1893,0.051587,0.904922,0.043490
train1894,0.751019,0.153664,0.095317
train1895,0.297442,0.359034,0.343524
train1896,0.478081,0.185285,0.336635
train1897,0.212086,0.636266,0.151648
train1898,0.400622,0.589640,0.009737
train1899,0.703216,0.293443,0.003342
train1900,0.125410,0.863570,0.011020
train1901,0.199757,0.682315,0.117927
train1902,0.004862,0.940496,0.054642
train1903,0.367053,0.508843,0.124104
train1904,0.335214,0.366319,0.298467
train1905,0.728024,0.015025,0.256951
train1906,0.181079,0.458047,0.360874
train1907,0.326071,0.653437,0.020491
train1908,0.091812,0.831681,0.076507
train1909,0.400144,0.303467,0.296389
train1910,0.473013,0.406178,0.120809
train1911,0.014695,0.264647,0.720658
train1912,0.467783,0.265375,0.266843
train1913,0.421585,0.069402,0.509013
train1914,0.374424,0.543636,0.081940
train1915,0.191272,0.157993,0.650735
train1916,0.296250,0.250526,0.453224
train1917,0.635345,0.204917,0.159738
train1918,0.231211,0.548613,0.220176
train1919,0.282073,0.086850,0.631077
train1920,0.779964,0.206077,0.013959
train1921,0.050467,0.267321,0.682212
train1922,0.194720,0.585949,0.219331
train1923,0.035025,0.653545,0.311430
train1924,0.333230,0.188510,0.478260
train1925,0.211117,0.616425,0.172458
train1926,0.249539,0.413797,0.336663
train1927,0.438112,0.505627,0.056261
train1928,0.310334,0.356573,0.333093
train1929,0.017817,0.694467,0.287715
train1930,0.400532,0.477341,0.122127
train1931,0.080638,0.322000,0.597362
train1932,0.227223,0.040953,0.731824
train1933,0.029817,0.795154,0.175029
train1934,0.104009,0.123939,0.772052
train1935,0.601492,0.148188,0.250320
train1936,0.005141,0.713202,0.281657
train1937,0.123619,0.260911,0.615469
train1938,0.074812,0.370257,0.554931
train1939,0.864339,0.133638,0.002024
train1940,0.460329,0.093014,0.446657
train1941,0.036573,0.849529,0.113898
train1942,0.197080,0.408736,0.394183
train1943,0.426882,0.408298,0.164819
train1944,0.229492,0.614924,0.155584
train1945,0.905538,0.017840,0.076623
train1946,0.861298,0.087470,0.051232
train1947,0.788120,0.108079,0.103801
train1948,0.730410,0.194628,0.074962
train1949,0.092732,0.336050,0.571218
train1950,0.424715,0.153708,0.421577
train1951,0.243677,0.592693,0.163630
train1952,0.136966,0.656386,0.206648
train1953,0.301833,0.599888,0.098279
train1954,0.373693,0.061388,0.564919
train1955,0.192314,0.565345,0.242341
train1956,0.240062,0.737948,0.021990
train1957,0.402943,0.328676,0.268382
train1958,0.820954,0.170303,0.008743
train1959,0.019519,0.943749,0.036732
train1960,0.263511,0.492950,0.243539
train1961,0.235971,0.630150,0.133879
train1962,0.072612,0.900584,0.026804
train1963,0.139385,0.220884,0.639731
train1964,0.402173,0.590927,0.006899
train1965,0.199496,0.343794,0.456709
train1966,0.188690,0.379673,0.431637
train1967,0.158519,0.663013,0.178468
train1968,0.203197,0.501819,0.294985
train1969,0.188160,0.670587,0.141253
train1970,0.087530,0.867827,0.044643
train1971,0.006563,0.772690,0.220748
train1972,0.026292,0.808645,0.165063
train1973,0.347017,0.026743,0.626240
train1974,0.054369,0.045783,0.899847
train1975,0.313167,0.265390,0.421443
train1976,0.154447,0.356198,0.489355
train1977,0.235230,0.621065,0.143705
train1978,0.266076,0.660109,0.073815
train1979,0.766639,0.208206,0.025155
train1980,0.024629,0.831948,0.143423
train1981,0.463117,0.055558,0.481326
train1982,0.495728,0.386913,0.117359
train1983,0.436699,0.314377,0.248924
train1984,0.147421,0.804930,0.047649
train1985,0.196633,0.518951,0.284416
train1986,0.352479,0.409615,0.237906
train1987,0.455453,0.411354,0.133192
train1988,0.228771,0.294978,0.476251
train1989,0.224265,0.675524,0.100211
train1990,0.156126,0.606466,0.237408
train1991,0.636194,0.175434,0.188372
train1992,0.146612,0.633532,0.219856
train1993,0.302657,0.547811,0.149532
train1994,0.105144,0.521847,0.373009
train1995,0.308118,0.136126,0.555755
train1996,0.320968,0.144564,0.534468
train1997,0.360792,0.598601,0.040607
train1998,0.878376,0.103853,0.017771
train1999,0.046665,0.000716,0.952619
train2000,0.013730,0.665092,0.321179
train2001,0.597431,0.049640,0.352928
train2002,0.128966,0.676800,0.194233
train2003,0.531162,0.049373,0.419464
train2004,0.132729,0.241737,0.625535
train2005,0.061259,0.142669,0.796072
train2006,0.284547,0.370915,0.344538
train2007,0.414070,0.099183,0.486747
train2008,0.531658,0.414814,0.053528
train2009,0.116947,0.587842,0.295211
train2010,0.095062,0.872297,0.032641
train2011,0.134913,0.352118,0.512969
train2012,0.118744,0.257534,0.623722
train2013,0.161426,0.034871,0.803703
train2014,0.509922,0.342365,0.147713
train2015,0.146174,0.655834,0.197992
train2016,0.508748,0.175482,0.315770
train2017,0.051948,0.223160,0.724892
train2018,0.482029,0.336845,0.181126
train2019,0.231589,0.677250,0.091161
train2020,0.239487,0.644818,0.115695
train2021,0.200864,0.024255,0.774881
train2022,0.248919,0.697661,0.053420
train2023,0.012245,0.935548,0.052207
train2024,0.398782,0.353204,0.248015
train2025,0.648667,0.300633,0.050700
train2026,0.132179,0.839398,0.028423
train2027,0.750239,0.082031,0.167730
train2028,0.599640,0.384089,0.016271
train2029,0.014740,0.321972,0.663289
train2030,0.405540,0.140965,0.453495
train2031,0.050423,0.051849,0.897728
train2032,0.132683,0.503653,0.363664
train2033,0.165580,0.184966,0.649454
train2034,0.605573,0.116091,0.278336
train2035,0.040922,0.509585,0.449494
train2036,0.462025,0.121345,0.416630
train2037,0.368312,0.203248,0.428440
train2038,0.065231,0.441167,0.493602
train2039,0.528409,0.181733,0.289858
train2040,0.224594,0.718504,0.056902
train2041,0.759708,0.092918,0.147374
train2042,0.340278,0.520195,0.139527
train2043,0.274550,0.190648,0.534802
train2044,0.138730,0.484455,0.376815
train2045,0.039024,0.345832,0.615144
train2046,0.126587,0.597824,0.275589
train2047,0.033605,0.362418,0.603977
train2048,0.079650,0.457567,0.462783
train2049,0.506174,0.182849,0.310977
train2050,0.171745,0.700029,0.128226
train2051,0.692333,0.242499,0.065168
train2052,0.592222,0.111797,0.295980
train2053,0.317448,0.203768,0.478784
train2054,0.074785,0.000661,0.924555
train2055,0.167007,0.319483,0.513511
train2056,0.287403,0.469452,0.243146
train2057,0.417624,0.397144,0.185232
train2058,0.123583,0.038957,0.837461
train2059,0.158186,0.605083,0.236731
train2060,0.564407,0.232142,0.203451
train2061,0.102923,0.178765,0.718312
train2062,0.179491,0.280847,0.539662
train2063,0.915068,0.082187,0.002745
train2064,0.234016,0.277203,0.488781
train2065,0.568553,0.066701,0.364746
train2066,0.363181,0.498424,0.138395
train2067,0.355340,0.079050,0.565609
train2068,0.515064,0.351100,0.133836
train2069,0.767989,0.015648,0.216363
train2070,0.119993,0.042040,0.837967
train2071,0.291479,0.042348,0.666172
train2072,0.499170,0.209552,0.291277
train2073,0.333634,0.560788,0.105577
train2074,0.204520,0.461613,0.333866
train2075,0.278710,0.426525,0.294766
train2076,0.170007,0.501342,0.328651
train2077,0.580528,0.271684,0.147788
train2078,0.000290,0.728296,0.271414
train2079,0.049176,0.186240,0.764583
train2080,0.087926,0.391691,0.520383
train2081,0.393533,0.559925,0.046542
train2082,0.297193,0.224801,0.478006
train2083,0.011616,0.124144,0.864240
train2084,0.553751,0.093394,0.352856
train2085,0.551366,0.002911,0.445723
train2086,0.548190,0.247680,0.204131
train2087,0.406476,0.105873,0.487651
train2088,0.205158,0.086335,0.708506
train2089,0.269949,0.381381,0.348670
train2090,0.265167,0.566838,0.167995
train2091,0.103725,0.320935,0.575339
train2092,0.139612,0.433852,0.426536
train2093,0.577897,0.124213,0.297890
train2094,0.135459,0.417030,0.447511
train2095,0.270582,0.363419,0.366000
train2096,0.009489,0.958933,0.031578
train2097,0.070779,0.884605,0.044616
train2098,0.678290,0.042236,0.279474
train2099,0.040324,0.758194,0.201482
train2100,0.791062,0.144472,0.064466
train2101,0.802165,0.167735,0.030099
train2102,0.039199,0.895453,0.065348
train2103,0.244147,0.382218,0.373635
train2104,0.312201,0.160519,0.527279
train2105,0.011775,0.911399,0.076826
train2106,0.898739,0.058466,0.042794
train2107,0.009514,0.685720,0.304766
train2108,0.297619,0.227439,0.474942
train2109,0.056805,0.044888,0.898307
train2110,0.539106,0.168393,0.292501
train2111,0.116788,0.399244,0.483967
train2112,0.035696,0.106175,0.858129
train2113,0.041663,0.715030,0.243306
train2114,0.082705,0.259085,0.658210
train2115,0.118902,0.242131,0.638968
train2116,0.162941,0.564846,0.272214
train2117,0.173980,0.631827,0.194194
train2118,0.317111,0.505574,0.177316
train2119,0.102434,0.551138,0.346428
train2120,0.006349,0.408580,0.585071
train2121,0.007506,0.582675,0.409818
train2122,0.693425,0.190495,0.116079
train2123,0.233986,0.719610,0.046404
train2124,0.258458,0.491028,0.250514
train2125,0.078424,0.831914,0.089662
train2126,0.409901,0.550574,0.039525
train2127,0.409870,0.006898,0.583232
train2128,0.145169,0.749069,0.105761
train2129,0.631281,0.250697,0.118023
train2130,0.025141,0.588580,0.386280
train2131,0.368094,0.571635,0.060271
train2132,0.044489,0.735954,0.219556
train2133,0.350696,0.254270,0.395034
train2134,0.912006,0.008686,0.079308
train2135,0.230279,0.157013,0.612709
train2136,0.156252,0.044793,0.798955
train2137,0.784160,0.047055,0.168785
train2138,0.255005,0.406573,0.338423
train2139,0.041042,0.674893,0.284065
train2140,0.459031,0.405960,0.135009
train2141,0.895212,0.004922,0.099866
train2142,0.180875,0.647739,0.171386
train2143,0.438868,0.233288,0.327844
train2144,0.573552,0.079266,0.347183
train2145,0.424810,0.286607,0.288583
train2146,0.086204,0.843759,0.070038
train2147,0.106799,0.547221,0.345980
train2148,0.046660,0.440837,0.512503
train2149,0.328414,0.271128,0.400458
train2150,0.170325,0.102204,0.727472
train2151,0.098535,0.746829,0.154636
train2152,0.256530,0.068659,0.674811
train2153,0.132561,0.622046,0.245393
train2154,0.117758,0.167825,0.714417
train2155,0.198367,0.270908,0.530725
train2156,0.007695,0.338181,0.654124
train2157,0.547568,0.176586,0.275846
train2158,0.409539,0.531283,0.059178
train2159,0.153657,0.181245,0.665099
train2160,0.431624,0.341698,0.226677
train2161,0.194854,0.515662,0.289484
train2162,0.769306,0.206828,0.023866
train2163,0.096431,0.053197,0.850372
train2164,0.102429,0.186509,0.711062
train2165,0.241847,0.493842,0.264311
train2166,0.122247,0.552704,0.325050
train2167,0.159124,0.423179,0.417697
train2168,0.198508,0.085674,0.715818
train2169,0.633593,0.168825,0.197582
train2170,0.096813,0.730065,0.173122
train2171,0.121113,0.253159,0.625728
train2172,0.062174,0.044189,0.893637
train2173,0.040148,0.087936,0.871916
train2174,0.158286,0.444456,0.397257
train2175,0.278084,0.364754,0.357162
train2176,0.010349,0.007378,0.982273
train2177,0.558366,0.016814,0.424820
train2178,0.129853,0.420265,0.449881
train2179,0.120835,0.102547,0.776619
train2180,0.196327,0.621500,0.182173
train2181,0.394753,0.032560,0.572686
train2182,0.625618,0.296895,0.077487
train2183,0.210698,0.175206,0.614096
train2184,0.718509,0.016548,0.264943
train2185,0.084102,0.034206,0.881692
train2186,0.103881,0.560154,0.335965
train2187,0.120850,0.210159,0.668991
train2188,0.308617,0.092945,0.598438
train2189,0.099602,0.331339,0.569059
train2190,0.591487,0.229009,0.179504
train2191,0.366212,0.218629,0.415159
train2192,0.183449,0.024956,0.791595
train2193,0.522059,0.143407,0.334534
train2194,0.380774,0.387346,0.231880
train2195,0.602799,0.084490,0.312711
train2196,0.157496,0.253552,0.588953
train2197,0.137046,0.187110,0.675844
train2198,0.644558,0.258684,0.096758
train2199,0.164316,0.643516,0.192168
train2200,0.497948,0.224461,0.277591
train2201,0.157569,0.219625,0.622806
train2202,0.117292,0.268025,0.614683
train2203,0.395214,0.543937,0.060850
train2204,0.605720,0.029850,0.364430
train2205,0.166416,0.057391,0.776193
train2206,0.300646,0.004678,0.694676
train2207,0.768838,0.079032,0.152131
train2208,0.535978,0.038572,0.425450
train2209,0.872174,0.023525,0.104300
train2210,0.469435,0.176580,0.353985
train2211,0.647923,0.172625,0.179453
train2212,0.089259,0.153216,0.757525
train2213,0.183087,0.332840,0.484073
train2214,0.317538,0.198735,0.483728
train2215,0.050360,0.783672,0.165968
train2216,0.133685,0.108038,0.758278
train2217,0.316184,0.458556,0.225259
train2218,0.147796,0.509345,0.342859
train2219,0.245135,0.390402,0.364463
train2220,0.540455,0.382017,0.077528
train2221,0.104285,0.869570,0.026145
train2222,0.531065,0.165589,0.303346
train2223,0.712454,0.123606,0.163940
train2224,0.495518,0.087375,0.417107
train2225,0.465472,0.377075,0.157454
train2226,0.005341,0.374362,0.620297
train2227,0.093596,0.723248,0.183156
train2228,0.703592,0.056554,0.239853
train2229,0.196018,0.768905,0.035076
train2230,0.261446,0.660855,0.077699
train2231,0.529358,0.381794,0.088848
train2232,0.489997,0.055011,0.454991
train2233,0.142225,0.813132,0.044643
train2234,0.531809,0.466193,0.001998
train2235,0.097858,0.772559,0.129584
train2236,0.367658,0.178380,0.453962
train2237,0.234548,0.721513,0.043939
train2238,0.300015,0.285936,0.414049
train2239,0.107243,0.546188,0.346569
train2240,0.040906,0.326799,0.632295
train2241,0.232166,0.707515,0.060320
train2242,0.430433,0.019208,0.550359
train2243,0.004561,0.698937,0.296503
train2244,0.825631,0.037628,0.136741
train2245,0.111059,0.112104,0.776838
train2246,0.154440,0.682689,0.162871
train2247,0.077662,0.099593,0.822745
train2248,0.060508,0.886961,0.052531
train2249,0.134091,0.248036,0.617873
train2250,0.199474,0.790250,0.010276
train2251,0.128873,0.071553,0.799574
train2252,0.301131,0.149403,0.549466
train2253,0.031749,0.609199,0.359053
train2254,0.239682,0.599796,0.160522
train2255,0.492835,0.407473,0.099692
train2256,0.723727,0.068289,0.207984
train2257,0.699898,0.075931,0.224171
train2258,0.462085,0.073486,0.464429
train2259,0.822860,0.081063,0.096078
train2260,0.343590,0.220268,0.436141
train2261,0.213647,0.142759,0.643594
train2262,0.394766,0.563283,0.041951
train2263,0.244294,0.194360,0.561346
train2264,0.082211,0.763481,0.154308
train2265,0.856472,0.124271,0.019256
train2266,0.210689,0.629074,0.160237
train2267,0.505089,0.197601,0.297310
train2268,0.529229,0.033610,0.437162
train2269,0.275848,0.526294,0.197858
train2270,0.022461,0.811926,0.165613
train2271,0.392949,0.485212,0.121839
train2272,0.090971,0.354425,0.554604
train2273,0.199807,0.634470,0.165724
train2274,0.044064,0.400801,0.555136
train2275,0.186679,0.550890,0.262431
train2276,0.227925,0.075338,0.696737
train2277,0.323309,0.443944,0.232747
train2278,0.023426,0.893657,0.082917
train2279,0.171233,0.686738,0.142029
train2280,0.373834,0.346691,0.279475
train2281,0.114351,0.131665,0.753983
train2282,0.009166,0.638235,0.352599
train2283,0.479963,0.442152,0.077884
train2284,0.046639,0.730416,0.222945
train2285,0.196562,0.710670,0.092769
train2286,0.112690,0.031069,0.856241
train2287,0.071289,0.277120,0.651591
train2288,0.591263,0.277272,0.131465
train2289,0.219184,0.076694,0.704122
train2290,0.424283,0.377785,0.197931
train2291,0.469021,0.009031,0.521948
train2292,0.477078,0.484563,0.038359
train2293,0.398861,0.489628,0.111511
train2294,0.354666,0.209087,0.436248
train2295,0.510381,0.013869,0.475750
train2296,0.112784,0.719455,0.167761
train2297,0.242657,0.421266,0.336077
train2298,0.219721,0.089045,0.691234
train2299,0.548178,0.196245,0.255577
train2300,0.538157,0.336288,0.125555
train2301,0.456349,0.246233,0.297418
train2302,0.016776,0.661771,0.321453
train2303,0.136515,0.508797,0.354688
train2304,0.559682,0.263020,0.177298
train2305,0.159294,0.761605,0.079101
train2306,0.164576,0.114566,0.720858
train2307,0.266461,0.025979,0.707560
