SampleID,A->B,B->A,A-B,A|B
train2490,0.062059,0.440303,0.353151,0.144487
train2491,0.013482,0.112865,0.868625,0.005028
train2492,0.154759,0.469129,0.319486,0.056626
train2493,0.468712,0.266481,0.076879,0.187928
train2494,0.184328,0.215412,0.548378,0.051883
train2495,0.295208,0.329679,0.268192,0.106921
train2496,0.346524,0.068579,0.406183,0.178714
train2497,0.568027,0.145712,0.261681,0.024581
train2498,0.027329,0.159820,0.569296,0.243556
train2499,0.022634,0.498144,0.254822,0.224400
train2500,0.051428,0.084944,0.704199,0.159429
train2501,0.691285,0.065620,0.153853,0.089242
train2502,0.268090,0.355706,0.228935,0.147270
train2503,0.063126,0.836381,0.050219,0.050274
train2504,0.630718,0.033039,0.321101,0.015141
train2505,0.155785,0.301506,0.451904,0.090806
train2506,0.120460,0.480767,0.288062,0.110712
train2507,0.028417,0.374349,0.532220,0.065014
train2508,0.134044,0.561433,0.207116,0.097407
train2509,0.586769,0.134659,0.215144,0.063428
train2510,0.327082,0.210945,0.067969,0.394004
train2511,0.394754,0.164205,0.226834,0.214207
train2512,0.067722,0.592324,0.255757,0.084197
train2513,0.177389,0.232505,0.513833,0.076273
train2514,0.061826,0.467239,0.299568,0.171366
train2515,0.434074,0.115258,0.210444,0.240224
train2516,0.280124,0.213872,0.393378,0.112626
train2517,0.025541,0.233761,0.133967,0.606731
train2518,0.345744,0.272103,0.261278,0.120875
train2519,0.493555,0.120098,0.190435,0.195911
train2520,0.446919,0.259394,0.174339,0.119349
train2521,0.512860,0.164650,0.039227,0.283264
train2522,0.317923,0.305002,0.356317,0.020758
train2523,0.070737,0.299138,0.188592,0.441533
train2524,0.409269,0.256596,0.246582,0.087552
train2525,0.200557,0.025445,0.532850,0.241148
train2526,0.167686,0.369881,0.261460,0.200973
train2527,0.132237,0.833427,0.032037,0.002300
train2528,0.131802,0.075671,0.633841,0.158687
train2529,0.145810,0.775674,0.053220,0.025296
train2530,0.127110,0.022067,0.434194,0.416628
train2531,0.107524,0.030537,0.403570,0.458369
train2532,0.270758,0.213744,0.051593,0.463905
train2533,0.148027,0.676407,0.088356,0.087210
train2534,0.484162,0.027054,0.255317,0.233467
train2535,0.226255,0.271313,0.421185,0.081248
train2536,0.213122,0.376465,0.312519,0.097893
train2537,0.430839,0.034011,0.240928,0.294222
train2538,0.067232,0.711734,0.147603,0.073431
train2539,0.372179,0.248760,0.213528,0.165533
train2540,0.114521,0.342024,0.057842,0.485614
train2541,0.395680,0.573578,0.025387,0.005355
train2542,0.335891,0.353883,0.274213,0.036013
train2543,0.051536,0.451815,0.080422,0.416227
train2544,0.545120,0.270019,0.099436,0.085425
train2545,0.478225,0.453347,0.023657,0.044771
train2546,0.215015,0.227604,0.155394,0.401988
train2547,0.860648,0.016026,0.116865,0.006460
train2548,0.662306,0.120025,0.142072,0.075596
train2549,0.163975,0.006281,0.441553,0.388191
train2550,0.147371,0.213655,0.364062,0.274913
train2551,0.534345,0.173055,0.225818,0.066782
train2552,0.668694,0.008106,0.113234,0.209966
train2553,0.120603,0.423874,0.292034,0.163489
train2554,0.070057,0.040024,0.091336,0.798584
train2555,0.052854,0.199570,0.476771,0.270805
train2556,0.047251,0.240805,0.324390,0.387554
train2557,0.451659,0.426808,0.004553,0.116980
train2558,0.572285,0.023355,0.318643,0.085718
train2559,0.376779,0.372441,0.032793,0.217986
train2560,0.213706,0.065675,0.014878,0.705741
train2561,0.097841,0.175394,0.093438,0.633326
train2562,0.679720,0.107740,0.107204,0.105336
train2563,0.123384,0.042808,0.119178,0.714630
train2564,0.615123,0.103650,0.152501,0.128726
train2565,0.135336,0.101281,0.148690,0.614693
train2566,0.326770,0.277437,0.168632,0.227162
train2567,0.047300,0.140066,0.738482,0.074151
train2568,0.464662,0.259444,0.219368,0.056527
train2569,0.681029,0.020039,0.000244,0.298689
train2570,0.224200,0.209332,0.279841,0.286628
train2571,0.499543,0.230061,0.178739,0.091657
train2572,0.140548,0.141217,0.687724,0.030511
train2573,0.221737,0.088593,0.541303,0.148367
train2574,0.146396,0.427946,0.042046,0.383612
train2575,0.167970,0.170157,0.176773,0.485099
train2576,0.400175,0.080802,0.446676,0.072347
train2577,0.056667,0.821052,0.026877,0.095404
train2578,0.033912,0.313779,0.060336,0.591974
train2579,0.060798,0.080997,0.280467,0.577738
train2580,0.275010,0.450280,0.063660,0.211050
train2581,0.328095,0.161089,0.360262,0.150555
train2582,0.389116,0.157740,0.196225,0.256919
train2583,0.440604,0.317397,0.065806,0.176193
train2584,0.526829,0.190527,0.170438,0.112206
train2585,0.221641,0.116145,0.389002,0.273211
train2586,0.282794,0.088758,0.387413,0.241035
train2587,0.562747,0.294270,0.132384,0.010599
train2588,0.108029,0.215714,0.570400,0.105857
train2589,0.110829,0.241274,0.363827,0.284070
train2590,0.254617,0.063662,0.072216,0.609505
train2591,0.133983,0.218718,0.262427,0.384872
train2592,0.106289,0.604484,0.054474,0.234752
train2593,0.195289,0.083989,0.342105,0.378617
train2594,0.018141,0.577673,0.034102,0.370084
train2595,0.319430,0.288933,0.172217,0.219420
train2596,0.030043,0.363867,0.567734,0.038356
train2597,0.223717,0.269115,0.115695,0.391473
train2598,0.256497,0.521696,0.079222,0.142585
train2599,0.186235,0.009553,0.359468,0.444744
train2600,0.386784,0.039560,0.443812,0.129844
train2601,0.217472,0.425388,0.136453,0.220688
train2602,0.029369,0.200756,0.069901,0.699974
train2603,0.162145,0.056610,0.289957,0.491289
train2604,0.018950,0.139771,0.383379,0.457900
train2605,0.086762,0.305642,0.228634,0.378962
train2606,0.537585,0.007799,0.186901,0.267715
train2607,0.193370,0.177482,0.044203,0.584945
train2608,0.216095,0.247365,0.527318,0.009222
train2609,0.095122,0.461544,0.014284,0.429051
train2610,0.126126,0.078487,0.747910,0.047476
train2611,0.082679,0.103341,0.489199,0.324781
train2612,0.077585,0.352755,0.462816,0.106845
train2613,0.122553,0.419476,0.222945,0.235025
train2614,0.244593,0.305985,0.156183,0.293240
train2615,0.159672,0.180521,0.557992,0.101815
train2616,0.019151,0.040907,0.491695,0.448247
train2617,0.244508,0.042832,0.165274,0.547386
train2618,0.215608,0.110429,0.004948,0.669014
train2619,0.129551,0.354339,0.272447,0.243663
train2620,0.706074,0.137456,0.075087,0.081383
train2621,0.021564,0.248849,0.474501,0.255086
train2622,0.410231,0.053456,0.239601,0.296712
train2623,0.055791,0.443598,0.457116,0.043495
train2624,0.113251,0.260976,0.423596,0.202176
train2625,0.075175,0.291740,0.059692,0.573394
train2626,0.048830,0.710524,0.001237,0.239409
train2627,0.168447,0.111554,0.329061,0.390937
train2628,0.196917,0.531979,0.140619,0.130485
train2629,0.105721,0.354817,0.264190,0.275272
train2630,0.265979,0.126180,0.294896,0.312945
train2631,0.627610,0.050418,0.262440,0.059532
train2632,0.172575,0.211947,0.422215,0.193264
train2633,0.131602,0.036590,0.500744,0.331063
train2634,0.317933,0.044802,0.006221,0.631043
train2635,0.037240,0.117710,0.086965,0.758085
train2636,0.406128,0.299430,0.067400,0.227042
train2637,0.363473,0.281880,0.077008,0.277640
train2638,0.661792,0.203855,0.094851,0.039502
train2639,0.204328,0.506784,0.142186,0.146703
train2640,0.161481,0.007829,0.588361,0.242330
train2641,0.015264,0.441686,0.421914,0.121136
train2642,0.035712,0.406609,0.233856,0.323823
train2643,0.231993,0.114798,0.185298,0.467912
train2644,0.442686,0.014173,0.205317,0.337825
train2645,0.073182,0.260070,0.084347,0.582401
train2646,0.161601,0.017421,0.068926,0.752052
train2647,0.124660,0.269465,0.225268,0.380606
train2648,0.113829,0.385905,0.064489,0.435777
train2649,0.024191,0.594790,0.159489,0.221530
train2650,0.112351,0.245764,0.137431,0.504454
train2651,0.333131,0.164658,0.123206,0.379006
train2652,0.099457,0.358082,0.161386,0.381075
train2653,0.007930,0.181346,0.363086,0.447638
train2654,0.283358,0.051267,0.643334,0.022041
train2655,0.422687,0.308275,0.220347,0.048691
train2656,0.158808,0.050006,0.035448,0.755738
train2657,0.446321,0.126029,0.069666,0.357985
train2658,0.031718,0.222873,0.021429,0.723980
train2659,0.010249,0.682067,0.013583,0.294100
train2660,0.042314,0.002643,0.735744,0.219299
train2661,0.709589,0.007115,0.219168,0.064128
train2662,0.300880,0.089670,0.606460,0.002991
train2663,0.676137,0.108485,0.151175,0.064203
train2664,0.184987,0.419053,0.102438,0.293522
train2665,0.418791,0.181977,0.214287,0.184945
train2666,0.045480,0.846350,0.002318,0.105852
train2667,0.249909,0.319656,0.272991,0.157444
train2668,0.059201,0.140692,0.525410,0.274697
train2669,0.072439,0.204460,0.219436,0.503665
train2670,0.320549,0.319533,0.337180,0.022737
train2671,0.093064,0.203346,0.014193,0.689398
train2672,0.230437,0.057003,0.377337,0.335223
train2673,0.010402,0.396768,0.321718,0.271111
train2674,0.419703,0.231094,0.008683,0.340520
train2675,0.022357,0.037843,0.441353,0.498447
train2676,0.083240,0.248068,0.224094,0.444597
train2677,0.311604,0.043247,0.147933,0.497216
train2678,0.196875,0.094942,0.425124,0.283058
train2679,0.326256,0.078765,0.238096,0.356884
train2680,0.250292,0.144349,0.246515,0.358844
train2681,0.151928,0.048937,0.540233,0.258902
train2682,0.066989,0.059683,0.826507,0.046821
train2683,0.145076,0.343773,0.351856,0.159295
train2684,0.677683,0.103583,0.014783,0.203951
train2685,0.418617,0.509352,0.019814,0.052217
train2686,0.022932,0.135989,0.146485,0.694594
train2687,0.159356,0.055446,0.005805,0.779393
train2688,0.113475,0.381573,0.269250,0.235702
train2689,0.250302,0.117792,0.291963,0.339942
train2690,0.307350,0.594233,0.084465,0.013951
train2691,0.238642,0.159159,0.436638,0.165561
train2692,0.546803,0.069486,0.167970,0.215740
train2693,0.361200,0.091385,0.311203,0.236211
train2694,0.358067,0.215382,0.187838,0.238713
train2695,0.103753,0.873465,0.008470,0.014312
train2696,0.195253,0.186829,0.055932,0.561986
train2697,0.091699,0.091183,0.642330,0.174788
train2698,0.142286,0.180561,0.339075,0.338079
train2699,0.360751,0.194068,0.399868,0.045313
train2700,0.691346,0.061184,0.227133,0.020337
train2701,0.492338,0.192665,0.225265,0.089733
train2702,0.285810,0.099456,0.396005,0.218729
train2703,0.064601,0.268247,0.109095,0.558058
train2704,0.131089,0.068831,0.349225,0.450855
train2705,0.133376,0.401387,0.428893,0.036344
train2706,0.492292,0.407934,0.071985,0.027790
train2707,0.031735,0.765752,0.069271,0.133243
train2708,0.714325,0.007257,0.155964,0.122454
train2709,0.092613,0.543857,0.201107,0.162423
train2710,0.410257,0.143254,0.010973,0.435515
train2711,0.300299,0.476148,0.109287,0.114266
train2712,0.235864,0.349717,0.285429,0.128989
train2713,0.337248,0.259008,0.373733,0.030012
train2714,0.002811,0.574329,0.096390,0.326470
train2715,0.073597,0.240221,0.487331,0.198851
train2716,0.064358,0.648175,0.169015,0.118453
train2717,0.377936,0.149308,0.216127,0.256629
train2718,0.231897,0.205430,0.158814,0.403859
train2719,0.402959,0.406050,0.056795,0.134196
train2720,0.144627,0.451507,0.365421,0.038446
train2721,0.070630,0.316455,0.549871,0.063044
train2722,0.637286,0.218323,0.069602,0.074789
train2723,0.001672,0.365748,0.245666,0.386915
train2724,0.411764,0.354035,0.051494,0.182706
train2725,0.080759,0.345164,0.267899,0.306179
train2726,0.165775,0.409546,0.035873,0.388806
train2727,0.078772,0.579108,0.049286,0.292835
train2728,0.121746,0.261252,0.064569,0.552433
train2729,0.557147,0.072563,0.329398,0.040893
train2730,0.106917,0.123707,0.014465,0.754912
train2731,0.100187,0.020571,0.409220,0.470022
train2732,0.202635,0.474937,0.096090,0.226338
train2733,0.536323,0.073143,0.095296,0.295238
train2734,0.118206,0.011020,0.701225,0.169549
train2735,0.208765,0.176834,0.416922,0.197479
train2736,0.569730,0.133768,0.114016,0.182486
train2737,0.547528,0.085454,0.170146,0.196872
train2738,0.178148,0.443102,0.374336,0.004415
train2739,0.114569,0.158647,0.692175,0.034610
train2740,0.304820,0.235469,0.080014,0.379697
train2741,0.093242,0.349210,0.454110,0.103438
train2742,0.303921,0.025893,0.486556,0.183629
train2743,0.513601,0.005911,0.235474,0.245014
train2744,0.411373,0.072301,0.035429,0.480897
train2745,0.004209,0.302758,0.009040,0.683993
train2746,0.654686,0.059294,0.023869,0.262151
train2747,0.012602,0.588370,0.277829,0.121199
train2748,0.088829,0.543089,0.024741,0.343340
train2749,0.354225,0.150966,0.314195,0.180615
train2750,0.760595,0.038576,0.134998,0.065831
train2751,0.174094,0.331101,0.274384,0.220421
train2752,0.046256,0.586440,0.119319,0.247985
train2753,0.362879,0.280830,0.133410,0.222882
train2754,0.075406,0.148354,0.404042,0.372197
train2755,0.420500,0.099534,0.062933,0.417034
train2756,0.212294,0.286536,0.182100,0.319069
train2757,0.448328,0.228972,0.228494,0.094206
train2758,0.182588,0.048050,0.427301,0.342060
train2759,0.064679,0.176029,0.091960,0.667331
train2760,0.579919,0.383623,0.013461,0.022997
train2761,0.047598,0.138183,0.749461,0.064758
train2762,0.106866,0.572988,0.126583,0.193563
train2763,0.295935,0.083483,0.073892,0.546690
train2764,0.528519,0.031880,0.113486,0.326115
train2765,0.160941,0.407187,0.265857,0.166015
train2766,0.602686,0.138485,0.134073,0.124756
train2767,0.032174,0.232081,0.349932,0.385813
train2768,0.185139,0.307730,0.427359,0.079772
train2769,0.324064,0.300924,0.053607,0.321405
train2770,0.014746,0.012662,0.332809,0.639783
train2771,0.056838,0.272170,0.063040,0.607952
train2772,0.276583,0.431187,0.094190,0.198040
train2773,0.389872,0.362429,0.219371,0.028328
train2774,0.360928,0.383236,0.168057,0.087779
train2775,0.182738,0.213433,0.415256,0.188573
train2776,0.191375,0.398456,0.145905,0.264264
train2777,0.041779,0.623697,0.311426,0.023098
train2778,0.589908,0.021451,0.052385,0.336256
train2779,0.547103,0.019148,0.278930,0.154819
train2780,0.469778,0.200503,0.225424,0.104295
train2781,0.279451,0.016424,0.531808,0.172317
train2782,0.040268,0.508515,0.445432,0.005785
train2783,0.644172,0.019227,0.294087,0.042515
train2784,0.160893,0.113865,0.451520,0.273721
train2785,0.057600,0.766563,0.112499,0.063338
train2786,0.001046,0.575390,0.233699,0.189866
train2787,0.097624,0.183924,0.128595,0.589857
train2788,0.368656,0.134934,0.139577,0.356832
train2789,0.808449,0.048943,0.035869,0.106739
train2790,0.034072,0.088768,0.835495,0.041666
train2791,0.181500,0.202751,0.182958,0.432791
train2792,0.136453,0.184184,0.485073,0.194289
train2793,0.145312,0.051866,0.742191,0.060630
train2794,0.076982,0.436169,0.290655,0.196194
train2795,0.410839,0.083364,0.205792,0.300005
train2796,0.542740,0.069214,0.101781,0.286265
train2797,0.061221,0.452282,0.088605,0.397892
train2798,0.118855,0.027474,0.336260,0.517411
train2799,0.511761,0.242985,0.232998,0.012256
train2800,0.012496,0.110207,0.465335,0.411962
train2801,0.461289,0.387980,0.089574,0.061157
train2802,0.202902,0.266200,0.133148,0.397751
train2803,0.519364,0.330083,0.039805,0.110748
train2804,0.041469,0.296617,0.460812,0.201103
train2805,0.106035,0.106513,0.332566,0.454887
train2806,0.016824,0.436874,0.061584,0.484718
train2807,0.091655,0.206561,0.003970,0.697814
train2808,0.155588,0.163032,0.563093,0.118287
train2809,0.023938,0.235443,0.319074,0.421546
train2810,0.496848,0.029864,0.423856,0.049431
train2811,0.109153,0.003683,0.129766,0.757399
train2812,0.160633,0.284899,0.265135,0.289333
train2813,0.300941,0.490704,0.151687,0.056668
train2814,0.326403,0.179360,0.147673,0.346564
train2815,0.021051,0.460408,0.371970,0.146572
train2816,0.010202,0.111078,0.245198,0.633522
train2817,0.090695,0.057554,0.485528,0.366222
train2818,0.417309,0.041112,0.210223,0.331356
train2819,0.701395,0.068632,0.218593,0.011381
train2820,0.602589,0.322276,0.045863,0.029273
train2821,0.145168,0.420374,0.117103,0.317356
train2822,0.308821,0.485102,0.113152,0.092925
train2823,0.034434,0.138421,0.024151,0.802994
train2824,0.466737,0.238017,0.073662,0.221584
train2825,0.240657,0.457760,0.139818,0.161765
train2826,0.504256,0.318805,0.018960,0.157978
train2827,0.441064,0.093933,0.004519,0.460484
train2828,0.074564,0.105864,0.679812,0.139760
train2829,0.596174,0.170756,0.026450,0.206619
train2830,0.124061,0.414172,0.194742,0.267026
train2831,0.823724,0.071844,0.010073,0.094358
train2832,0.665793,0.041374,0.157083,0.135750
train2833,0.030517,0.206153,0.488923,0.274407
train2834,0.428359,0.088000,0.053277,0.430364
train2835,0.315128,0.197232,0.038977,0.448663
train2836,0.095754,0.028425,0.049892,0.825930
train2837,0.483357,0.040957,0.058729,0.416956
train2838,0.149098,0.159465,0.540036,0.151400
train2839,0.053091,0.035807,0.023131,0.887970
train2840,0.674063,0.071271,0.175922,0.078745
train2841,0.386723,0.175821,0.384716,0.052740
train2842,0.324515,0.052639,0.509280,0.113565
train2843,0.005044,0.565159,0.264863,0.164933
train2844,0.330928,0.095896,0.051039,0.522138
train2845,0.303223,0.123489,0.087566,0.485721
train2846,0.099178,0.499913,0.073534,0.327375
train2847,0.313693,0.084247,0.280929,0.321132
train2848,0.295245,0.155706,0.007233,0.541816
train2849,0.081259,0.200152,0.178245,0.540343
train2850,0.016082,0.611171,0.032259,0.340488
train2851,0.009794,0.097008,0.263114,0.630084
train2852,0.739814,0.124347,0.070112,0.065727
train2853,0.083460,0.315138,0.222811,0.378592
train2854,0.164284,0.542260,0.020828,0.272628
train2855,0.566338,0.007231,0.004888,0.421543
train2856,0.291591,0.204232,0.021479,0.482697
train2857,0.681230,0.078760,0.208734,0.031276
train2858,0.286363,0.305873,0.176067,0.231697
train2859,0.079320,0.126194,0.763426,0.031060
train2860,0.467034,0.162169,0.019984,0.350813
train2861,0.398695,0.512316,0.029738,0.059250
train2862,0.134438,0.449452,0.096725,0.319385
train2863,0.281062,0.068788,0.295468,0.354683
train2864,0.363836,0.064077,0.157597,0.414490
train2865,0.306859,0.111560,0.548139,0.033441
train2866,0.071613,0.123583,0.508794,0.296010
train2867,0.098329,0.864412,0.034329,0.002930
train2868,0.308331,0.245629,0.369913,0.076127
train2869,0.197863,0.369369,0.425325,0.007443
train2870,0.444655,0.113012,0.294858,0.147475
train2871,0.064051,0.338700,0.374562,0.222687
train2872,0.225806,0.272436,0.264580,0.237178
train2873,0.276481,0.007323,0.684157,0.032039
train2874,0.318806,0.070800,0.546094,0.064301
train2875,0.141085,0.319526,0.429734,0.109654
train2876,0.035608,0.169564,0.468817,0.326010
train2877,0.237308,0.559954,0.183528,0.019210
train2878,0.086536,0.084771,0.825056,0.003636
train2879,0.657629,0.004441,0.148515,0.189415
train2880,0.270352,0.168661,0.122473,0.438513
train2881,0.269990,0.170484,0.293388,0.266138
train2882,0.368116,0.253581,0.059400,0.318902
train2883,0.153859,0.264854,0.218319,0.362968
train2884,0.029775,0.309612,0.111379,0.549234
train2885,0.162037,0.471150,0.260449,0.106365
train2886,0.422949,0.186371,0.308589,0.082091
train2887,0.242877,0.046010,0.328261,0.382852
train2888,0.222138,0.102921,0.493045,0.181896
train2889,0.493758,0.101261,0.041377,0.363604
train2890,0.115690,0.168085,0.101555,0.614670
train2891,0.168404,0.270385,0.417415,0.143796
train2892,0.125628,0.353762,0.342768,0.177842
train2893,0.002265,0.185200,0.073327,0.739208
train2894,0.160890,0.355234,0.024712,0.459164
train2895,0.096865,0.637723,0.141639,0.123773
train2896,0.064773,0.488810,0.265660,0.180757
train2897,0.170172,0.483670,0.048476,0.297683
train2898,0.391017,0.229563,0.363560,0.015860
train2899,0.355652,0.289868,0.197243,0.157237
train2900,0.443015,0.443851,0.062028,0.051107
train2901,0.548580,0.062409,0.024837,0.364175
train2902,0.194829,0.090670,0.404090,0.310412
train2903,0.436041,0.047338,0.359407,0.157214
train2904,0.228971,0.249840,0.390996,0.130193
train2905,0.370512,0.148188,0.002943,0.478357
train2906,0.123482,0.081481,0.359180,0.435857
train2907,0.279957,0.488898,0.184623,0.046522
train2908,0.001910,0.505695,0.286234,0.206161
train2909,0.248322,0.199812,0.221059,0.330806
train2910,0.407765,0.085499,0.137313,0.369423
train2911,0.245884,0.031049,0.676727,0.046339
train2912,0.351634,0.066507,0.123568,0.458292
train2913,0.006918,0.504611,0.289653,0.198818
train2914,0.093680,0.113237,0.436234,0.356850
train2915,0.250398,0.425472,0.121133,0.202997
train2916,0.234699,0.232077,0.418120,0.115104
train2917,0.167146,0.717813,0.020788,0.094253
train2918,0.041780,0.004335,0.351098,0.602787
train2919,0.069812,0.108932,0.345494,0.475762
train2920,0.007206,0.574860,0.017825,0.400110
train2921,0.093931,0.182864,0.581271,0.141935
train2922,0.509893,0.344813,0.047168,0.098125
train2923,0.089637,0.197309,0.191924,0.521129
train2924,0.185671,0.471553,0.181482,0.161294
train2925,0.658757,0.080100,0.024166,0.236977
train2926,0.081532,0.604456,0.081057,0.232955
train2927,0.069093,0.346846,0.284790,0.299271
train2928,0.252138,0.116050,0.393291,0.238521
train2929,0.214696,0.054985,0.711619,0.018700
train2930,0.290819,0.174115,0.088627,0.446438
train2931,0.026593,0.221237,0.188057,0.564113
train2932,0.160059,0.345447,0.045482,0.449011
train2933,0.078997,0.191692,0.688232,0.041080
train2934,0.505831,0.162225,0.254926,0.077018
train2935,0.076990,0.189485,0.075445,0.658080
train2936,0.028311,0.219438,0.342572,0.409678
train2937,0.222211,0.354854,0.082339,0.340596
train2938,0.165974,0.426091,0.328075,0.079861
train2939,0.167221,0.187285,0.440968,0.204526
train2940,0.459188,0.129074,0.387489,0.024249
train2941,0.346762,0.301253,0.193083,0.158902
train2942,0.111699,0.394010,0.144485,0.349806
train2943,0.032691,0.305126,0.506300,0.155883
train2944,0.011854,0.086584,0.684746,0.216816
train2945,0.033026,0.108999,0.497243,0.360732
train2946,0.613029,0.058528,0.319850,0.008593
train2947,0.352158,0.150620,0.036509,0.460713
train2948,0.516951,0.002475,0.057659,0.422915
train2949,0.405135,0.108515,0.057509,0.428841
train2950,0.391655,0.063701,0.005958,0.538686
train2951,0.497049,0.064119,0.008083,0.430749
train2952,0.111193,0.514500,0.307145,0.067161
train2953,0.711043,0.214588,0.000550,0.073819
train2954,0.113693,0.804650,0.076267,0.005390
train2955,0.381196,0.114787,0.497656,0.006362
train2956,0.356371,0.175500,0.213603,0.254526
train2957,0.066495,0.020962,0.907630,0.004913
train2958,0.298987,0.191122,0.159170,0.350720
train2959,0.029828,0.660820,0.238474,0.070879
train2960,0.010967,0.269776,0.628313,0.090943
train2961,0.304143,0.352210,0.060600,0.283047
train2962,0.186066,0.120382,0.189568,0.503983
train2963,0.234593,0.121288,0.331731,0.312389
train2964,0.275166,0.052793,0.596338,0.075703
train2965,0.254043,0.040286,0.024140,0.681531
train2966,0.558469,0.158968,0.189728,0.092835
train2967,0.104388,0.139035,0.707893,0.048683
train2968,0.234028,0.119483,0.078540,0.567949
train2969,0.130249,0.367177,0.073483,0.429090
train2970,0.152224,0.282355,0.323191,0.242230
train2971,0.375163,0.592258,0.010615,0.021965
train2972,0.074518,0.742836,0.046385,0.136261
train2973,0.305444,0.182971,0.242447,0.269138
train2974,0.225752,0.300305,0.134129,0.339814
train2975,0.021789,0.175695,0.675392,0.127124
train2976,0.150474,0.736626,0.011518,0.101382
train2977,0.320985,0.205870,0.247435,0.225710
train2978,0.009068,0.465687,0.152239,0.373006
train2979,0.371442,0.398717,0.127592,0.102248
train2980,0.053294,0.066559,0.279170,0.600977
train2981,0.110001,0.128596,0.663072,0.098332
train2982,0.108981,0.505928,0.178885,0.206207
train2983,0.168213,0.536895,0.186001,0.108891
train2984,0.320265,0.173331,0.444849,0.061555
train2985,0.154672,0.266814,0.546571,0.031943
train2986,0.336267,0.334424,0.317705,0.011603
train2987,0.048792,0.139980,0.172077,0.639151
train2988,0.644226,0.003861,0.091860,0.260053
train2989,0.086393,0.185507,0.459093,0.269007
train2990,0.201554,0.314716,0.066236,0.417493
train2991,0.332487,0.131934,0.342818,0.192761
train2992,0.039867,0.274910,0.152947,0.532276
train2993,0.118554,0.003971,0.481442,0.396033
train2994,0.272201,0.076218,0.619836,0.031745
train2995,0.582425,0.001256,0.001616,0.414703
train2996,0.104640,0.542294,0.232740,0.120326
train2997,0.131390,0.315248,0.006086,0.547276
train2998,0.122038,0.035656,0.072112,0.770194
train2999,0.485227,0.138138,0.322651,0.053984
train3000,0.256449,0.317104,0.317718,0.108729
train3001,0.030185,0.393542,0.383019,0.193254
train3002,0.219845,0.708880,0.009866,0.061409
train3003,0.051924,0.421138,0.083853,0.443085
train3004,0.047477,0.297888,0.168995,0.485639
train3005,0.233115,0.071598,0.379487,0.315801
train3006,0.205067,0.143844,0.486122,0.164967
train3007,0.365274,0.083332,0.405442,0.145952
train3008,0.097424,0.244709,0.024986,0.632880
train3009,0.054592,0.638790,0.018265,0.288353
train3010,0.181800,0.400444,0.017026,0.400730
train3011,0.007269,0.407534,0.101896,0.483301
train3012,0.023080,0.405889,0.177683,0.393348
train3013,0.324454,0.372465,0.252623,0.050458
train3014,0.159544,0.269630,0.055239,0.515587
train3015,0.296182,0.600882,0.022870,0.080066
train3016,0.233265,0.042588,0.525432,0.198715
train3017,0.755622,0.171660,0.035845,0.036873
train3018,0.323706,0.302943,0.233201,0.140150
train3019,0.038106,0.358440,0.335925,0.267529
train3020,0.475801,0.194847,0.064545,0.264807
train3021,0.456121,0.416094,0.088832,0.038953
train3022,0.019677,0.111672,0.810210,0.058441
train3023,0.222787,0.136980,0.517193,0.123039
train3024,0.448135,0.299884,0.061259,0.190723
train3025,0.063889,0.236341,0.523049,0.176722
train3026,0.245434,0.039576,0.071903,0.643088
train3027,0.146834,0.056746,0.621635,0.174785
train3028,0.667343,0.030567,0.148742,0.153348
train3029,0.157096,0.511794,0.107358,0.223752
train3030,0.397873,0.188257,0.133879,0.279991
train3031,0.062524,0.521943,0.320170,0.095363
train3032,0.648127,0.111021,0.013423,0.227428
train3033,0.173584,0.124424,0.236481,0.465510
train3034,0.243485,0.306758,0.058505,0.391251
train3035,0.136782,0.157509,0.155099,0.550609
train3036,0.194102,0.037109,0.402726,0.366063
train3037,0.161776,0.402174,0.417526,0.018524
train3038,0.334087,0.204998,0.272523,0.188392
train3039,0.032110,0.044532,0.757662,0.165696
train3040,0.475017,0.183542,0.326544,0.014896
train3041,0.171033,0.155319,0.157718,0.515930
train3042,0.138782,0.217772,0.253526,0.389920
train3043,0.132661,0.489405,0.213924,0.164010
train3044,0.373035,0.323717,0.147127,0.156122
train3045,0.074104,0.028184,0.202725,0.694987
train3046,0.131353,0.123427,0.020348,0.724872
train3047,0.527790,0.049479,0.324003,0.098728
train3048,0.184285,0.085066,0.219056,0.511593
train3049,0.213286,0.276344,0.443975,0.066395
train3050,0.323042,0.331985,0.280981,0.063992
train3051,0.084773,0.169491,0.171589,0.574147
train3052,0.048512,0.104796,0.180240,0.666452
train3053,0.298923,0.280953,0.310818,0.109305
train3054,0.074222,0.271562,0.630779,0.023437
train3055,0.305430,0.017918,0.042111,0.634542
train3056,0.063801,0.565110,0.295590,0.075499
train3057,0.290574,0.056073,0.461059,0.192294
train3058,0.696130,0.090848,0.047806,0.165217
train3059,0.102367,0.020293,0.269992,0.607348
train3060,0.385350,0.056978,0.330625,0.227047
train3061,0.115633,0.658589,0.026788,0.198991
train3062,0.185556,0.043617,0.081249,0.689578
train3063,0.100579,0.393314,0.295280,0.210828
train3064,0.058993,0.339459,0.324573,0.276974
train3065,0.750302,0.103398,0.138956,0.007345
train3066,0.264215,0.462334,0.256059,0.017392
train3067,0.266423,0.147332,0.524878,0.061368
train3068,0.633474,0.016931,0.069850,0.279745
train3069,0.171783,0.427565,0.051515,0.349137
train3070,0.069183,0.066051,0.654151,0.210615
train3071,0.201370,0.155194,0.542935,0.100501
